CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
MEDICINA,12,780-900,VESTIBULAR/ENEM,BACHARELADO,20,"HOSPITAIS E CLÍNICAS","12.000,00-35.000,00",N/A,UNIFASC,PRESENCIAL,INTEGRAL,Formação médica completa,,Saúde
PSICOLOGIA,10,650-760,ENEM E VESTIBULAR,BACHARELADO,N/A,"CLÍNICAS E RH","3.000,00-10.000,00",N/A,UNIFASC,PRESENCIAL,NOITE,Saúde mental e comportamento,https://www.unifacs.br/cursos/graduacao/psicologia-bacharelado/,Saúde
CIÊNCIAS BIOLÓGICAS,8,550-680,ENEM E VESTIBULAR,BACHARELADO,N/A,"PESQUISA, ENSINO E MEIO AMBIENTE","2.500,00-7.000,00",N/A,UNIFASC,PRESENCIAL,NOITE,Estudo dos seres vivos e ecossistemas,,Saúde
ENGENHARIA AGRONÔMICA,10,620-730,ENEM E VESTIBULAR,BACHARELADO,N/A,"AGRICULTURA E AGRONEGÓCIO","4.000,00-12.000,00",N/A,UNIFASC,PRESENCIAL,INTEGRAL,Produção agrícola e tecnologia rural,,Exatas & Engenharias
MEDICINA VETERINÁRIA,10,620-740,ENEM E VESTIBULAR,BACHARELADO,N/A,"CLÍNICAS E AGROPECUÁRIA","4.000,00-12.000,00",N/A,UNIFASC,PRESENCIAL,INTEGRAL,Saúde animal,https://www.unifacs.br/cursos/graduacao/medicina-veterinaria-bacharelado/,Saúde
ZOOTECNIA,8-10,500-650,ENEM E VESTIBULAR,BACHARELADO,N/A,"PRODUÇÃO ANIMAL","3.000,00-8.000,00",N/A,UNIFASC,PRESENCIAL,INTEGRAL,Nutrição e manejo animal,,Exatas & Engenharias
ARTES VISUAIS,8,450-600,ENEM E VESTIBULAR,BACHARELADO,N/A,"ARTE, ENSINO E CULTURA","2.000,00-6.000,00",N/A,UNIFASC,PRESENCIAL,NOITE,Produção artística e visual,,Humanas & Educação
CIÊNCIAS SOCIAIS,8,500-650,ENEM E VESTIBULAR,BACHARELADO,N/A,"PESQUISA SOCIAL E EDUCAÇÃO","2.500,00-7.000,00",N/A,UNIFASC,PRESENCIAL,NOITE,"Sociedade, política e cultura",,Humanas & Educação
ENGENHARIA AGRÍCOLA E AMBIENTAL,10,600-720,ENEM E VESTIBULAR,BACHARELADO,N/A,"RECURSOS HÍDRICOS E AGRICULTURA","4.000,00-11.000,00",N/A,UNIFASC,PRESENCIAL,INTEGRAL,Tecnologia agrícola e ambiental,,Exatas & Engenharias
ENGENHARIA CIVIL,10,620-720,ENEM E VESTIBULAR,BACHARELADO,N/A,"OBRAS E CONSTRUÇÃO","5.000,00-12.000,00",N/A,UNIFASC,PRESENCIAL,NOITE,Construção civil e projetos,,Exatas & Engenharias
ENGENHARIA DA COMPUTAÇÃO,10,650-760,ENEM E VESTIBULAR,BACHARELADO,N/A,"HARDWARE E SOFTWARE","5.000,00-14.000,00",N/A,UNIFASC,PRESENCIAL,NOITE,Sistemas computacionais,https://www.unifacs.br/cursos/graduacao/engenharia-da-computacao-bacharelado/,Tecnologia & TI
ENGENHARIA DE PRODUÇÃO,10,580-700,ENEM E VESTIBULAR,BACHARELADO,N/A,"INDÚSTRIAS E GESTÃO","5.000,00-11.000,00",N/A,UNIFASC,PRESENCIAL,NOITE,Otimização de processos,https://www.unifacs.br/cursos/graduacao/engenharia-de-producao-bacharelado/,Exatas & Engenharias
ENGENHARIA ELÉTRICA,10,620-730,ENEM E VESTIBULAR,BACHARELADO,N/A,"ENERGIA E AUTOMAÇÃO","5.000,00-13.000,00",N/A,UNIFASC,PRESENCIAL,NOITE,Sistemas elétricos,https://www.unifacs.br/cursos/graduacao/engenharia-eletrica-bacharelado/,Exatas & Engenharias
ENGENHARIA MECÂNICA,10,620-730,ENEM E VESTIBULAR,BACHARELADO,N/A,"INDÚSTRIA E PROJETOS","5.000,00-13.000,00",N/A,UNIFASC,PRESENCIAL,NOITE,Máquinas e processos mecânicos,https://www.unifacs.br/cursos/graduacao/engenharia-mecanica-bacharelado/,Exatas & Engenharias
ANTROPOLOGIA,8,500-620,ENEM E VESTIBULAR,BACHARELADO,N/A,"CULTURA E PESQUISA SOCIAL","2.500,00-6.000,00",N/A,UNIFASC,PRESENCIAL,NOITE,Estudos culturais e sociais,,Humanas & Educação
ARQUEOLOGIA E PRESERVAÇÃO PATRIMONIAL,8,500-650,ENEM E VESTIBULAR,BACHARELADO,N/A,"PATRIMÔNIO HISTÓRICO E MUSEUS","2.500,00-7.000,00",N/A,UNIFASC,PRESENCIAL,NOITE,Conservação histórica e arqueologia,,Humanas & Educação
QUÍMICA,8,550-700,ENEM E VESTIBULAR,BACHARELADO,N/A,"INDÚSTRIA, LABORATÓRIO E ENSINO","3.000,00-8.000,00",N/A,UNIFASC,PRESENCIAL,NOITE,Processos químicos e análises,,Exatas & Engenharias
GESTÃO AMBIENTAL,4-5,450-550,ENEM E VESTIBULAR,TECNÓLOGO,N/A,SUSTENTABILIDADE","2.500,00-6.000,00",N/A,UNIFASC,PRESENCIAL/EAD,NOITE,Gestão ambiental e sustentabilidade,,Negócios & Gestão
