CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
ENGENHARIA ELÉTRICA,10,LIVRE,VESTIBULAR/ENEM,BACHARELADO,VAGAS POR TURMA,"SISTEMAS DE GERAÇÃO, TRANSMISSÃO E DISTRIBUIÇÃO","7.500,00-11.500,00",10-18,JUAZEIRO DO NORTE - CE,PRESENCIAL,NOTURNO,"Estuda a geração, transmissão, distribuição e aplicação da energia elétrica.",Engenharia Elétrica: Bacharelado Presencial UNIASSELVI,Exatas & Engenharias
CIÊNCIA DA COMPUTAÇÃO,8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"ALGORITMOS, INTELIGÊNCIA ARTIFICIAL, SOFTWARES","6.500,00-11.000,00",20-35,JUAZEIRO DO NORTE - CE,PRESENCIAL,NOTURNO,"Focado nos fundamentos teóricos, matemáticos e práticos da computação avançada.",Bacharelado em Ciência da Computação Presencial | UNIASSELVI,Tecnologia & TI
SISTEMAS DE INFORMAÇÃO,8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"FLUXO DE DADOS, REDES, BANCO DE DADOS, GOVERNANÇA","5.500,00-9.500,00",20-35,JUAZEIRO DO NORTE - CE,PRESENCIAL,NOTURNO,"Une tecnologia e administração para gerenciar fluxos de dados organizacionais.",Curso de Sistemas de Informação: presencial,Tecnologia & TI
DESIGN DE MODA,7,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"COLEÇÕES, ILUSTRAÇÃO, CONSULTORIA DE ESTILO","3.200,00-5.000,00",12-20,JUAZEIRO DO NORTE - CE,PRESENCIAL,NOTURNO,"Aborda o desenvolvimento de coleções de vestuário, têxtil e tendências.",Design de Moda - Cursos,Humanas & Educação
ENGENHARIA DE SOFTWARE,8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"ARQUITETURA, QUALIDADE, SEGURANÇA DE SISTEMAS","7.000,00-12.000,00",25-40,JUAZEIRO DO NORTE - CE,PRESENCIAL,NOTURNO,"Focado na aplicação de métodos sistemáticos no desenvolvimento de softwares.",Bacharelado em Engenharia de Software | UNIASSELVI,Tecnologia & TI
PROCESSOS GERENCIAIS,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,VAGAS POR TURMA,"ADMINISTRAÇÃO DE PMES, OPERAÇÕES, VENDAS","3.800,00-5.500,00",20-35,JUAZEIRO DO NORTE - CE,PRESENCIAL,NOTURNO,"Curso focado na administração prática de pequenas e médias empresas.",Processos Gerenciais Presencial,Negócios & Gestão
PEDAGOGIA (FLEX),8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"DOCÊNCIA INFANTIL, GESTÃO ESCOLAR, HOSPITALAR","3.200,00-4.500,00",35-50,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Prepara profissionais para aplicar teorias de ensino em ambientes diversos.",Licenciatura em Pedagogia: transforme sua carreira na,Humanas & Educação
NUTRIÇÃO,8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,VAGAS POR TURMA,"HOSPITAIS, CLÍNICAS, NUTRIÇÃO ESPORTIVA","3.200,00-4.800,00",15-25,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Estuda as propriedades dos alimentos e a interação dos nutrientes no organismo.",Bacharelado em Nutrição UNIASSELVI,Saúde
BIOMEDICINA,8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,VAGAS POR TURMA,"ANÁLISES CLÍNICAS, PESQUISA, ESTÉTICA AVANÇADA","3.500,00-5.200,00",12-20,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Une conceitos de biologia e medicina para investigar causas de doenças.",Biomedicina: Bacharelado com formação completa e prátic,Saúde
SERVIÇO SOCIAL,8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"POLÍTICAS PÚBLICAS, PROGRAMAS SOCIAIS, ONGS","3.500,00-4.800,00",18-30,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Analisa as desigualdades sociais e atua na garantia de direitos humanos.",Graduação em Serviço Social | UNIASSELVI,Humanas & Educação
FARMÁCIA,10,LIVRE,VESTIBULAR/ENEM,BACHARELADO,VAGAS POR TURMA,"MEDICAMENTOS, FÓRMULAS, ANÁLISES CLÍNICAS","3.800,00-5.500,00",12-20,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Estuda a composição, produção e os efeitos de fármacos e cosméticos.",Curso de Farmácia: formação completa para actar no merc,Saúde
FISIOTERAPIA,10,LIVRE,VESTIBULAR/ENEM,BACHARELADO,VAGAS POR TURMA,"REABILITAÇÃO MOTORA, HOSPITAIS, CLÍNICAS, UTI","3.200,00-4.600,00",15-25,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Focado na prevenção, diagnóstico e reabilitação de distúrbios do movimento.",Graduação em Fisioterapia Semipresencial | UNIASSELVI,Saúde
AGRONOMIA,10,LIVRE,VESTIBULAR/ENEM,BACHARELADO,VAGAS POR TURMA,"PRODUÇÃO AGRÍCOLA, MANEJO DE SOLOS, CONTROLE","6.500,00-10.000,00",10-18,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Estuda fatores científicos, técnicos e econômicos da produção agrícola.",Bacharelado em Agronomia | UNIASSELVI,Exatas & Engenharias
TERAPIA OCUPACIONAL,8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,VAGAS POR TURMA,"AUTONOMIA EM ATIVIDADES DIÁRIAS, HOSPITAIS","3.300,00-4.800,00",8-15,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Ajuda pessoas com limitações físicas ou mentais a recuperar autonomia.",Terapia Ocupacional da UNIASSELVI: Bacharel completa,Saúde
SEGUNDA LICENCIATURA EM FÍSICA,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE FÍSICA NO ENSINO MÉDIO,"3.800,00-5.500,00",15-25,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Habilita profissionais já graduados a lecionarem a disciplina de Física.",Segunda Licenciatura em Física | UNIASSELVI,Humanas & Educação
SEGUNDA LICENCIATURA EM QUÍMICA,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE QUÍMICA NO ENSINO MÉDIO,"3.800,00-5.500,00",15-25,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Destinado a professores já licenciados para ministrar aulas de Química.",Segunda Licenciatura em Química | UNIASSELVI,Humanas & Educação
TEATRO,8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"ATOR, DIRETOR, DRAMATURGO, DOCÊNCIA DE ARTES","2.500,00-5.000,00",5-12,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Desenvolve competências práticas e teóricas nas artes cênicas.",Licenciatura em Teatro Semipresencial | UNIASSELVI,Humanas & Educação
FORMAÇÃO PEDAGÓGICA EM GEOGRAFIA,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE GEOGRAFIA NA EDUCAÇÃO BÁSICA,"3.500,00-5.200,00",18-30,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Complementação de conteúdo didático para bacharéis lecionarem Geografia.",Formação Pedagógica em Geografia - Licenciatura,Humanas & Educação
ENGENHARIA AMBIENTAL E SANITÁRIA,10,LIVRE,VESTIBULAR/ENEM,BACHARELADO,VAGAS POR TURMA,"TRATAMENTO DE ÁGUA, RESÍDUOS, LICENCIAMENTO","6.500,00-9.500,00",5-12,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Preservação dos recursos naturais, saneamento e saúde pública.",Graduação Engenharia Ambiental e Sanitária | UNIASSELVI,Exatas & Engenharias
ENGENHARIA CIVIL (FLEX),10,LIVRE,VESTIBULAR/ENEM,BACHARELADO,VAGAS POR TURMA,"INFRAESTRUTURA, CÁLCULO ESTRUTURAL, CANTEIROS","7.200,00-11.000,00",8-15,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Capacita para projeto, construção e manutenção de infraestruturas.",Faculdade de Engenharia Civil | UNIASSELVI,Exatas & Engenharias
FORMAÇÃO PEDAGÓGICA EM SOCIOLOGIA,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE SOCIOLOGIA NO ENSINO MÉDIO,"3.500,00-5.200,00",18-30,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Complementação de disciplinas pedagógicas destinada a graduados.",Formação Pedagógica em Sociologia,Humanas & Educação
GESTÃO HOSPITALAR,6,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"ADMINISTRAÇÃO DE HOSPITAIS, CLÍNICAS, POSTOS","4.500,00-7.500,00",12-20,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Prepara para a administração técnica de estabelecimentos de saúde.",Gestão Hospitalar: Curso Tecnólogo | UNIASSELVI,Negócios & Gestão
SEGUNDA LICENCIATURA EM INFORMÁTICA,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA EM INFORMÁTICA EDUCATIVA,"3.500,00-5.500,00",12-22,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Habilita professores a lecionarem computação na educação básica.",Segunda Licenciatura em Informática | UNIASSELVI,Humanas & Educação
MÚSICA,8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"INSTRUMENTISTA, CANTOR, COMPOSITOR, REGENTE","2.800,00-5.000,00",5-12,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Estuda a teoria musical, percepção rítmica e práticas pedagógicas.",Graduação Licenciatura em Música | UNIASSELVI,Humanas & Educação
ACOMPANHAMENTO DO TRANSTORNO DO ESPECTRO AUTISTA,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"SUPORTE ESCOLAR, TERAPÊUTICO E SOCIAL EM TEA","3.000,00-5.500,00",20-35,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Focado na compreensão do TEA e intervenções educacionais adaptadas.",Acompanhamento do Transtorno do Espectro Autista,Saúde
SEGUNDA LICENCIATURA EM ARTES VISUAIS,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE ARTES VISUAIS NA EDUCAÇÃO BÁSICA,"3.500,00-5.000,00",15-25,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Capacita professores com fundamentos de história da arte e pintura.",Segunda Licenciatura em Artes Visuais | UNIASSELVI,Humanas & Educação
FORMAÇÃO PEDAGÓGICA EM FILOSOFIA,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE FILOSOFIA NO ENSINO MÉDIO,"3.500,00-5.200,00",15-25,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Habilita bacharéis para docência através de disciplinas de didática.",Formação Pedagógica em Filosofia | UNIASSELVI,Humanas & Educação
LETRAS PORTUGUÊS,8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"PROFESSOR DE PORTUGUÊS, REVISOR, REDATOR","3.500,00-5.500,00",20-35,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Estuda a estrutura da Língua Portuguesa e sua produção literária.",Licenciatura em Letras: Português | UNIASSELVI,Humanas & Educação
MATEMÁTICA (LIC),8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"DOCÊNCIA, PESQUISA, MODELAGEM MATEMÁTICA","3.800,00-5.800,00",12-22,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Focado nas estruturas lógicas, cálculo, álgebra e geometria.",Licenciatura Semipresencial em Matemática | UNIASSELVI,Exatas & Engenharias
FÍSICA (LIC),8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"PROFESSOR, PESQUISADOR EM LABORATÓRIOS, TECNOLOGIA","4.500,00-8.000,00",8-15,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Investiga as leis fundamentais da natureza, mecânica e quântica.",Licenciatura em Física | UNIASSELVI,Exatas & Engenharias
FORMAÇÃO PEDAGÓGICA EM FÍSICA,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE FÍSICA NO ENSINO MÉDIO,"3.800,00-5.500,00",15-25,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Complementação pedagógica para diplomados em áreas exatas.",Formação Pedagógica em Física Semipresencial UNIASSELVI,Humanas & Educação
PSICOMOTRICIDADE,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"DESENVOLVIMENTO MOTOR, COGNITIVO EM CLÍNICAS","3.200,00-5.000,00",12-20,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Estuda a relação entre o movimento corporal, mente e afetividade.",Psicomotricidade,Saúde
FORMAÇÃO PEDAGÓGICA EM LETRAS PORTUGUÊS,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE LÍNGUA PORTUGUESA NA EDUCAÇÃO BÁSICA,"3.500,00-5.500,00",20-35,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Habilita bacharéis para docência de língua portuguesa via didática.",Formação Pedagógica em Letras Portugues,Humanas & Educação
GEOGRAFIA (LIC),8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"ENSINO, ANÁLISE SOCIOAMBIENTAL, CARTOGRAFIA DIGITAL","4.000,00-6.500,00",12-20,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Estuda a organização espacial, dinâmica natural e interações.",Geografia,Humanas & Educação
FORMAÇÃO PEDAGÓGICA EM ARTES VISUAIS,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE ARTES NA EDUCAÇÃO BÁSICA,"3.500,00-5.000,00",15-25,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Complementação em disciplinas de educação e didática da arte.",Licenciatura Pedagógica em Artes Visuais | UNIASSELVI,Humanas & Educação
SEGUNDA LICENCIATURA EM LETRAS INGLÊS,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE LÍNGUA INGLESA NA EDUCAÇÃO BÁSICA,"3.500,00-5.500,00",15-25,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Habilita professores de outras áreas para o ensino de inglês.",Segunda Licenciatura em Letras Inglês,Humanas & Educação
SEGUNDA LICENCIATURA EM EDUCAÇÃO ESPECIAL,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE),"3.800,00-5.500,00",18-30,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Especialização em recursos e metodologias de inclusão escolar.",Segunda Licenciatura em Educação Especial | UNIASSELVI,Humanas & Educação
FORMAÇÃO PEDAGÓGICA EM LETRAS LIBRAS,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE LIBRAS NA EDUCAÇÃO BÁSICA","3.500,00-5.500,00",15-25,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Complementa a formação de bacharéis para atuação em Libras.",Formação Pedagógica em Letras Libras,Humanas & Educação
ENGENHARIA DA PRODUÇÃO (FLEX),10,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"EFICIÊNCIA DE PROCESSOS, GESTÃO INDUSTRIAL","7.000,00-10.500,00",12-22,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Aborda otimização produtiva, pesquisa operacional e qualidade.",Engenharia de Produção,Exatas & Engenharias
AGROTECNOLOGIA,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"DRONES, SENSORES, SOFTWARES DE GESTÃO AGRÍCOLA","4.500,00-7.500,00",10-18,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Focado na aplicação de inovações tecnológicas na agropecuária.",Tecnólogo em Agrotecnologia | UNIASSELVI,Tecnologia & TI
FORMAÇÃO PEDAGÓGICA EM MATEMÁTICA,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE MATEMÁTICA NA EDUCAÇÃO BÁSICA,"3.800,00-5.800,00",15-25,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Habilitação voltada para engenheiros ou economistas lecionarem.",Formação Pedagógica em Matemática | UNIASSELVI,Humanas & Educação
INFORMÁTICA (LIC),8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"SUPORTE TÉCNICO, REDES, DESENVOLVIMENTO SIMPLES","3.000,00-5.000,00",12-20,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Aborda hardware, redes, arquitetura e suporte técnico.",Licenciatura em Informática EAD | UNIASSELVI,Tecnologia & TI
GESTÃO AMBIENTAL,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"RELATÓRIOS SUSTENTÁVEIS, AUDITORIA, LEIS, ESG","4.000,00-6.000,00",12-20,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Concilia atividades econômicas empresariais com sustentabilidade.",Gestão Ambiental: curso tecnólogo com foco no mercado,Negócios & Gestão
ARTES VISUAIS (LIC),8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"CRIAÇÃO ARTÍSTICA, CURADORIA, ILUSTRAÇÃO, ENSINO","2.800,00-4.800,00",10-18,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Explora manifestações visuais como pintura, escultura e design.",Licenciatura em Artes Visuais Semipresencial UNIASSELVI,Humanas & Educação
FORMAÇÃO PEDAGÓGICA EM EDUCAÇÃO ESPECIAL,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA VOLTADA PARA EDUCAÇÃO INCLUSIVA,"3.800,00-5.500,00",20-30,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Capacita bacharéis em didática inclusiva e desenvolvimento.",Formação Pedagógica em Educação Especial,Humanas & Educação
FORMAÇÃO PEDAGÓGICA EM INFORMÁTICA,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,ENSINO DE COMPUTAÇÃO E TECNOLOGIA","3.500,00-5.500,00",12-20,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Habilitação didática voltada para graduados em áreas técnicas.",Formação Pedagógica em Informática | UNIASSELVI,Humanas & Educação
CONTROLE DE OBRAS,6,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"FISCALIZAÇÃO DE CRONOGRAMAS, SEGURANÇA, CUSTOS","3.500,00-5.500,00",10-18,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Focado na execução prática e medição de projetos civis.",Controle de Obras,Exatas & Engenharias
FORMAÇÃO PEDAGÓGICA EM LETRAS INGLÊS,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE INGLÊS NA EDUCAÇÃO BÁSICA,"3.500,00-5.500,00",18-30,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Formação didático-pedagógica estruturada para fluentes.",Formação Pedagógica em Letras Inglês,Humanas & Educação
GEOPROCESSAMENTO,6,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"MAPAS DIGITAIS, IMAGENS DE SATÉLITE, GPS, SIG","3.800,00-6.000,00",8-15,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Ensina a coletar, processar e analisar dados geográficos.",Graduação em Geoprocessamento | UNIASSELVI,Tecnologia & TI
CIÊNCIAS DA RELIGIÃO,8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"ENSINO RELIGIOSO, DIÁLOGO INTER-RELIGIOSO","3.200,00-4.800,00",10-18,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Analisa o fenômeno religioso de forma laica, ética e histórica.",Licenciatura em Ciências da Religião | UNIASSELVI,Humanas & Educação
ENGENHARIA MECÂNICA (FLEX),10,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"PROJETOS INDUSTRIAIS, MANUTENÇÃO MECÂNICA","7.500,00-11.000,00",5-12,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Projeto, fabricação e manutenção de sistemas mecânicos.",Graduação em Engenharia Mecânica | UNIASSELVI,Exatas & Engenharias
SEGUNDA LICENCIATURA EM GEOGRAFIA,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE GEOGRAFIA NO ENSINO BÁSICO,"3.500,00-5.200,00",12-22,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Programa acelerado para habilitar professores já graduados.",Segunda Licenciatura em Geografia,Humanas & Educação
SEGUNDA LICENCIATURA EM LETRAS LIBRAS,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,ENSINO INCLUSIVO DE LIBRAS NAS ESCOLAS,"3.500,00-5.500,00",12-22,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Capacita professores licenciados no domínio gramatical da Libras.",Segunda Licenciatura em Letras Libras,Humanas & Educação
SOCIOLOGIA,8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"ENSINO, PESQUISAS SOCIAIS, OPINIÃO PÚBLICA, ONGS","3.800,00-5.800,00",10-18,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Estuda estruturas sociais, instituições e poder coletivo.",https://portal.uniasselvi.com.br/graduacao/licenciatura/sociologia/semipresencial,Humanas & Educação
